open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1679616000000,1789.51000000,1789.51000000,1726.40000000,1749.57000000,339776.68650000,1679619599999,595662902.60499597,511012.00000000,167760.08060000,294021231.48491001,0
1679702400000,1749.57000000,1763.23000000,1713.09000000,1741.88000000,355679.37430000,1679705999999,620341997.18351197,620651.00000000,174749.28340000,304837439.68175697,0
1679788800000,1741.88000000,1801.00000000,1739.31000000,1773.88000000,354933.23720000,1679792399999,627660488.27267003,592618.00000000,178518.26690000,315691892.31925398,0
1679875200000,1773.88000000,1780.48000000,1686.13000000,1715.22000000,570563.50230000,1679878799999,987197970.21984005,810253.00000000,274628.43020000,475175903.71022403,0
1679961600000,1715.21000000,1795.73000000,1701.13000000,1772.99000000,536511.39730000,1679965199999,935507384.14967799,766887.00000000,286377.21640000,499476096.82435697,0
1680048000000,1773.00000000,1827.99000000,1772.48000000,1793.07000000,536865.59720000,1680051599999,967342311.08223403,810500.00000000,283946.54590000,511607922.31168300,0
1680134400000,1793.06000000,1829.69000000,1763.00000000,1793.61000000,579690.03940000,1680137999999,1039397383.78040004,876484.00000000,299825.65610000,537640857.62762201,0
1680220800000,1793.60000000,1847.28000000,1777.91000000,1821.52000000,554525.47620000,1680224399999,1006896937.02525401,902956.00000000,289189.75500000,525237162.94212699,0
1680307200000,1821.52000000,1842.83000000,1807.81000000,1820.79000000,272904.96740000,1680310799999,497460628.07619101,579259.00000000,138942.81390000,253278130.99517101,0
1680393600000,1820.80000000,1824.81000000,1771.70000000,1794.51000000,322122.93850000,1680397199999,580909276.16417098,637705.00000000,162593.22360000,293256522.06304199,0
1680480000000,1794.51000000,1839.99000000,1762.77000000,1810.51000000,628503.66190000,1680483599999,1131436800.43707299,1098681.00000000,318256.91810000,573104096.04296994,0
1680566400000,1810.51000000,1891.91000000,1802.01000000,1870.37000000,622208.64110000,1680569999999,1151551698.65326810,1087425.00000000,324318.04740000,599946499.35902297,0
1680652800000,1870.38000000,1942.98000000,1864.58000000,1908.69000000,548595.51550000,1680656399999,1045846831.79156303,1077031.00000000,281338.72500000,536320635.93476498,0
1680739200000,1908.68000000,1909.91000000,1853.70000000,1872.41000000,396241.43520000,1680742799999,743618300.02399993,916688.00000000,190334.89780000,357167485.35243601,0
1680825600000,1872.41000000,1882.61000000,1841.46000000,1863.72000000,284256.48730000,1680829199999,528718750.37856597,829061.00000000,143802.12850000,267474497.28292799,0
1680912000000,1863.73000000,1879.38000000,1847.00000000,1848.82000000,197905.54070000,1680915599999,368792680.92965800,902787.00000000,97213.28820000,181198387.33443299,0
1680998400000,1848.82000000,1873.99000000,1824.01000000,1858.92000000,287131.30790000,1681001999999,529878494.84037298,953458.00000000,146393.82950000,270125898.84310502,0
1681084800000,1858.91000000,1918.79000000,1846.40000000,1910.20000000,434739.79840000,1681088399999,816212712.86294699,586284.00000000,218877.85860000,410947350.79718000,0
1681171200000,1910.21000000,1937.37000000,1881.11000000,1889.86000000,405203.48920000,1681174799999,774389695.84593201,590527.00000000,209441.71720000,400266668.51136100,0
1681257600000,1889.86000000,1933.00000000,1852.65000000,1917.39000000,630844.41860000,1681261199999,1195663632.07873201,801456.00000000,318566.11280000,603818547.58289397,0
1681344000000,1917.40000000,2023.00000000,1899.55000000,2012.01000000,676164.51880000,1681347599999,1333377092.12459111,911569.00000000,358627.74440000,706952043.88310194,0
1681430400000,2012.00000000,2128.76000000,2009.22000000,2099.99000000,896307.39340000,1681433999999,1877719501.12373209,1182309.00000000,463960.15560000,971826170.99483097,0
1681516800000,2099.99000000,2111.85000000,2071.13000000,2090.60000000,321823.78510000,1681520399999,674260851.49151003,505299.00000000,159120.98000000,333402759.03928602,0
