time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open
2023-03-25,27454.46,1749.57,20.66,0.07453
2023-03-26,27462.96,1741.88,20.4,0.07401
2023-03-27,27968.05,1773.88,20.94,0.07436
2023-03-28,27124.9,1715.21,19.91,0.07289
2023-03-29,27261.06,1773.0,20.45,0.07381
2023-03-30,28348.6,1793.06,21.1,0.07557
2023-03-31,28028.53,1793.6,20.55,0.07421
2023-04-01,28465.36,1821.52,21.15,0.07695
2023-04-02,28452.74,1820.8,21.07,0.08181
2023-04-03,28171.87,1794.51,20.52,0.07903
2023-04-04,27800.0,1810.51,20.45,0.09601
2023-04-05,28165.47,1870.38,20.91,0.0951
2023-04-06,28170.01,1908.68,20.96,0.09268
2023-04-07,28033.83,1872.41,20.62,0.08541
2023-04-08,27906.34,1863.73,20.44,0.08222
2023-04-09,27938.38,1848.82,20.04,0.08135
2023-04-10,28323.76,1858.91,20.29,0.08318
2023-04-11,29637.35,1910.21,20.89,0.08474
2023-04-12,30200.43,1889.86,22.99,0.08409
2023-04-13,29888.07,1917.4,23.81,0.08346
2023-04-14,30373.84,2012.0,24.43,0.08729
2023-04-15,30466.93,2099.99,24.72,0.08866
2023-04-16,30295.1,2090.61,24.05,0.08889
2023-04-17,30304.66,2118.66,25.34,0.09043
2023-04-18,29430.27,2073.99,24.57,0.09137
2023-04-19,30380.01,2103.51,24.82,0.09412
2023-04-20,28797.1,1933.74,22.66,0.08787
2023-04-21,28243.65,1942.98,22.19,0.0839
2023-04-22,27262.84,1848.77,21.26,0.07842
2023-04-23,27816.85,1874.17,21.79,0.08029
2023-04-24,27590.59,1862.01,21.47,0.07876
2023-04-25,27510.93,1841.84,21.39,0.07875
2023-04-26,28300.8,1866.1,21.94,0.07976
2023-04-27,28415.29,1866.01,21.28,0.07859
2023-04-28,29472.77,1908.68,22.34,0.08013
2023-04-29,29311.69,1890.93,23.34,0.08033
2023-04-30,29230.45,1907.79,23.18,0.08157
2023-05-01,29233.2,1870.08,22.73,0.0795
2023-05-02,28068.26,1830.73,21.95,0.07882
2023-05-03,28669.85,1870.09,22.25,0.07876
2023-05-04,29026.16,1905.12,22.24,0.07961
2023-05-05,28838.16,1877.07,21.74,0.07837
2023-05-06,29505.6,1993.3,22.82,0.08017
2023-05-07,28848.19,1896.33,21.91,0.07672
2023-05-08,28430.09,1870.41,21.65,0.07652
2023-05-09,27668.8,1847.55,20.63,0.07239
2023-05-10,27628.28,1846.53,20.66,0.0731
2023-05-11,27598.74,1840.83,20.92,0.07312
2023-05-12,26968.61,1794.31,20.17,0.07193
2023-05-13,26795.01,1807.45,20.91,0.07235
2023-05-14,26775.27,1795.12,20.83,0.07168
2023-05-15,26917.61,1799.2,20.93,0.07195
2023-05-16,27162.15,1816.21,20.98,0.0719
2023-05-17,27033.85,1824.21,20.68,0.07276
2023-05-18,27405.62,1822.12,21.06,0.07484
2023-05-19,26821.28,1800.56,20.35,0.07344
2023-05-20,26880.26,1812.31,20.35,0.07351
2023-05-21,27102.42,1819.42,20.28,0.07362
2023-05-22,26747.78,1804.91,19.61,0.07212
2023-05-23,26849.28,1817.36,19.52,0.07292
2023-05-24,27219.61,1854.06,20.02,0.07288
2023-05-25,26329.0,1799.89,19.22,0.07065
2023-05-26,26473.8,1805.61,19.25,0.07087
2023-05-27,26705.93,1827.8,19.35,0.07097
2023-05-28,26854.28,1829.89,20.42,0.07255
2023-05-29,28065.01,1908.64,20.81,0.07353
2023-05-30,27736.39,1892.6,20.57,0.07313
2023-05-31,27694.39,1900.58,21.25,0.07231
2023-06-01,27210.36,1873.63,20.82,0.07165
2023-06-02,26817.93,1861.78,20.49,0.07143
2023-06-03,27242.59,1906.69,21.26,0.07257
2023-06-04,27069.22,1892.05,21.19,0.07271
2023-06-05,27115.2,1890.0,21.83,0.07249
2023-06-06,25728.2,1810.49,20.01,0.0664
2023-06-07,27230.07,1884.65,20.38,0.07025
2023-06-08,26339.34,1832.12,18.64,0.06728
2023-06-09,26498.62,1845.65,18.88,0.06796
2023-06-10,26477.8,1840.37,17.4,0.06947
2023-06-11,25841.22,1751.52,15.61,0.06175
2023-06-12,25925.54,1752.77,15.55,0.06152
2023-06-13,25905.2,1742.57,15.19,0.06144
2023-06-14,25934.24,1740.12,15.03,0.06174
2023-06-15,25128.6,1650.95,14.49,0.06038
2023-06-16,25598.49,1666.96,14.78,0.06154
2023-06-17,26345.01,1717.91,15.32,0.06219
2023-06-18,26516.99,1727.75,15.65,0.0622
2023-06-19,26339.98,1720.95,15.45,0.06212
2023-06-20,26844.35,1737.1,16.1,0.06244
2023-06-21,28308.0,1791.99,16.65,0.06314
2023-06-22,29993.89,1889.1,17.23,0.06562
2023-06-23,29884.92,1872.0,16.62,0.06556
2023-06-24,30688.51,1892.63,17.14,0.06823
2023-06-25,30527.44,1874.95,16.64,0.06669
2023-06-26,30462.67,1898.8,16.96,0.06672
2023-06-27,30267.99,1858.97,16.27,0.06474
2023-06-28,30692.44,1889.58,16.63,0.06557
2023-06-29,30077.4,1828.03,15.98,0.06257
2023-06-30,30447.31,1851.99,18.0,0.06342
2023-07-01,30471.99,1933.8,18.85,0.06646
2023-07-02,30585.9,1924.5,18.7,0.06851
2023-07-03,30617.02,1937.49,19.46,0.06801
2023-07-04,31156.2,1955.55,19.25,0.06845
2023-07-05,30766.52,1936.19,19.14,0.06891
2023-07-06,30504.8,1910.35,18.99,0.06697
2023-07-07,29895.42,1846.17,19.61,0.06484
2023-07-08,30344.7,1870.92,21.51,0.0654
2023-07-09,30284.63,1865.24,21.82,0.06573
2023-07-10,30160.71,1862.81,21.32,0.06537
2023-07-11,30411.57,1880.41,21.3,0.06523
2023-07-12,30622.1,1878.31,22.06,0.06529
2023-07-13,30380.0,1871.82,21.93,0.06504
2023-07-14,31454.23,2004.49,26.01,0.07042
2023-07-15,30312.0,1937.82,26.67,0.06848
2023-07-16,30289.52,1931.41,27.47,0.07196
2023-07-17,30232.0,1922.12,27.41,0.06951
2023-07-18,30138.01,1911.21,26.8,0.06982
2023-07-19,29859.14,1897.21,25.54,0.06867
2023-07-20,29909.21,1888.64,26.31,0.07004
2023-07-21,29800.0,1891.59,25.38,0.07061
2023-07-22,29901.72,1891.73,25.51,0.07322
2023-07-23,29793.99,1866.52,24.52,0.07047
2023-07-24,30083.75,1888.74,24.76,0.07179
2023-07-25,29176.5,1850.0,23.36,0.0742
2023-07-26,29228.91,1857.66,23.28,0.08185
2023-07-27,29351.95,1871.99,25.18,0.07794
2023-07-28,29222.78,1861.29,25.1,0.07761
2023-07-29,29314.14,1874.2,24.82,0.07717
2023-07-30,29352.9,1880.45,25.17,0.08024
2023-07-31,29281.09,1861.79,24.25,0.07802
2023-08-01,29232.26,1856.13,23.72,0.07786
2023-08-02,29705.99,1873.48,24.06,0.07815
2023-08-03,29186.0,1839.9,23.14,0.07422
2023-08-04,29193.65,1835.81,22.65,0.07358
2023-08-05,29114.0,1830.24,22.8,0.07346
2023-08-06,29072.13,1836.48,22.66,0.07572
2023-08-07,29088.43,1830.28,23.2,0.07427
2023-08-08,29211.06,1829.1,23.11,0.07354
2023-08-09,29770.41,1856.3,24.22,0.07497
2023-08-10,29581.99,1855.36,24.39,0.07542
2023-08-11,29455.76,1852.47,24.63,0.07587
2023-08-12,29426.02,1848.84,24.63,0.07574
2023-08-13,29430.18,1849.94,24.91,0.0767
2023-08-14,29303.85,1840.73,24.22,0.07479
2023-08-15,29430.92,1845.5,25.19,0.0747
2023-08-16,29200.01,1828.98,23.91,0.07092
2023-08-17,28730.51,1807.81,22.82,0.06718
2023-08-18,26623.41,1681.49,21.67,0.06102
2023-08-19,26054.0,1661.6,21.34,0.06326
2023-08-20,26100.01,1669.68,21.89,0.06379
2023-08-21,26190.0,1685.23,21.78,0.06384
2023-08-22,26126.92,1667.56,21.2,0.06253
2023-08-23,26055.99,1635.0,20.59,0.06258
2023-08-24,26432.71,1679.61,21.74,0.06379
2023-08-25,26180.05,1661.16,21.05,0.06308
2023-08-26,26060.0,1653.79,20.42,0.06312
2023-08-27,26017.38,1647.03,20.28,0.06289
2023-08-28,26101.78,1658.33,20.79,0.06317
2023-08-29,26120.0,1653.08,20.57,0.06345
2023-08-30,27716.34,1729.41,21.79,0.0664
2023-08-31,27299.99,1705.23,20.82,0.06588
2023-09-01,25940.77,1645.77,19.74,0.06379
2023-09-02,25805.04,1629.13,19.33,0.06386
2023-09-03,25869.52,1637.02,19.5,0.06348
2023-09-04,25971.21,1635.84,19.57,0.06317
2023-09-05,25826.03,1630.52,19.52,0.06326
2023-09-06,25792.11,1634.46,20.26,0.06403
2023-09-07,25759.95,1633.15,19.63,0.06364
2023-09-08,26255.0,1648.11,19.92,0.06366
2023-09-09,25910.5,1636.43,19.6,0.0637
2023-09-10,25901.6,1635.53,19.43,0.06338
2023-09-11,25841.6,1617.42,18.23,0.0613
2023-09-12,25162.53,1551.84,17.72,0.06047
2023-09-13,25840.1,1592.97,17.91,0.0609
2023-09-14,26222.0,1607.61,18.4,0.06125
2023-09-15,26522.73,1626.48,18.85,0.06207
2023-09-16,26599.99,1641.3,19.15,0.0625
2023-09-17,26559.67,1634.4,19.12,0.06213
2023-09-18,26527.5,1622.48,18.81,0.06146
2023-09-19,26762.5,1636.66,19.65,0.06196
2023-09-20,27210.25,1643.13,20.02,0.06269
2023-09-21,27125.01,1622.27,20.29,0.06263
2023-09-22,26568.08,1583.94,19.45,0.0613
2023-09-23,26580.14,1593.07,19.42,0.06153
2023-09-24,26575.97,1593.85,19.48,0.06152
2023-09-25,26248.39,1580.71,19.36,0.06068
2023-09-26,26304.8,1588.34,19.39,0.06095
2023-09-27,26221.68,1594.02,19.03,0.06062
2023-09-28,26373.0,1598.63,19.13,0.06052
2023-09-29,27021.39,1653.0,19.97,0.06151
2023-09-30,26906.96,1667.45,20.28,0.06213
2023-10-01,26962.57,1670.89,21.37,0.06207
2023-10-02,27992.58,1733.8,23.88,0.0632
2023-10-03,27494.51,1662.41,23.38,0.06201
2023-10-04,27426.45,1656.88,23.61,0.06138
2023-10-05,27778.57,1646.58,23.13,0.06146
2023-10-06,27410.39,1611.79,22.7,0.06087
2023-10-07,27931.1,1645.03,23.41,0.06136
2023-10-08,27956.67,1633.56,23.29,0.06143
2023-10-09,27917.06,1632.85,23.21,0.06095
2023-10-10,27590.12,1580.13,22.09,0.05872
2023-10-11,27390.12,1567.62,22.11,0.05914
2023-10-12,26875.52,1566.86,22.01,0.05851
2023-10-13,26759.63,1539.61,21.29,0.05789
2023-10-14,26862.0,1552.16,21.85,0.05839
2023-10-15,26852.48,1554.94,22.0,0.05984
