time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open,ADAUSDT_Open,BNBUSDT_Open,LINKUSDT_Open,TRXUSDT_Open,XRPUSDT_Open,USDCUSDT_Open
2023-03-25,27454.46,1749.57,20.66,0.07453,0.3597,322.1,7.191,0.06341,0.426,0.9988
2023-03-26,27462.96,1741.88,20.4,0.07401,0.3513,322.4,7.074,0.06369,0.4429,0.9989
2023-03-27,27968.05,1773.88,20.94,0.07436,0.3558,328.6,7.26,0.06413,0.4479,0.9991
2023-03-28,27124.9,1715.21,19.91,0.07289,0.3456,310.6,6.871,0.06355,0.4789,0.9996
2023-03-29,27261.06,1773.0,20.45,0.07381,0.3681,313.3,6.947,0.06419,0.5145,0.9996
2023-03-30,28348.6,1793.06,21.1,0.07557,0.3811,313.8,7.382,0.06433,0.5425,0.9997
2023-03-31,28028.53,1793.6,20.55,0.07421,0.3761,316.4,7.23,0.06482,0.5319,1.0
2023-04-01,28465.36,1821.52,21.15,0.07695,0.3989,317.0,7.588,0.06553,0.5375,0.9998
2023-04-02,28452.74,1820.8,21.07,0.08181,0.392,314.9,7.545,0.06647,0.5095,0.9996
2023-04-03,28171.87,1794.51,20.52,0.07903,0.3816,313.8,7.255,0.06518,0.5179,0.9995
2023-04-04,27800.0,1810.51,20.45,0.09601,0.3872,308.8,7.244,0.06575,0.4958,0.9998
2023-04-05,28165.47,1870.38,20.91,0.0951,0.3895,310.8,7.37,0.06573,0.5026,0.9996
2023-04-06,28170.01,1908.68,20.96,0.09268,0.3922,314.0,7.322,0.06617,0.5056,0.9998
2023-04-07,28033.83,1872.41,20.62,0.08541,0.3829,312.3,7.2,0.06608,0.5028,0.9994
2023-04-08,27906.34,1863.73,20.44,0.08222,0.3835,310.4,7.267,0.06604,0.5127,0.9992
2023-04-09,27938.38,1848.82,20.04,0.08135,0.3852,310.6,7.129,0.06613,0.5049,0.9994
2023-04-10,28323.76,1858.91,20.29,0.08318,0.3893,312.8,7.203,0.06661,0.5053,0.9994
2023-04-11,29637.35,1910.21,20.89,0.08474,0.3971,318.6,7.344,0.06731,0.5176,0.9992
2023-04-12,30200.43,1889.86,22.99,0.08409,0.4015,322.3,7.3,0.06632,0.5166,0.9989
2023-04-13,29888.07,1917.4,23.81,0.08346,0.4047,319.9,7.23,0.06514,0.5049,0.9992
2023-04-14,30373.84,2012.0,24.43,0.08729,0.4251,324.6,7.458,0.06523,0.5124,0.999
2023-04-15,30466.93,2099.99,24.72,0.08866,0.4381,328.8,7.743,0.06619,0.5227,0.999
2023-04-16,30295.1,2090.61,24.05,0.08889,0.4521,333.1,8.005,0.06588,0.5192,0.9992
2023-04-17,30304.66,2118.66,25.34,0.09043,0.4512,347.7,8.136,0.06655,0.5208,0.9992
2023-04-18,29430.27,2073.99,24.57,0.09137,0.4341,340.0,8.161,0.06574,0.511,0.9994
2023-04-19,30380.01,2103.51,24.82,0.09412,0.4435,343.1,8.578,0.06681,0.5325,0.9997
2023-04-20,28797.1,1933.74,22.66,0.08787,0.4163,322.5,7.752,0.06563,0.4911,0.9995
2023-04-21,28243.65,1942.98,22.19,0.0839,0.4008,318.0,7.512,0.06541,0.4752,0.9999
2023-04-22,27262.84,1848.77,21.26,0.07842,0.3823,321.3,7.113,0.06497,0.4491,1.0001
